COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST - Republican,BALLOTS CAST - Democratic,BALLOTS CAST - General,REP Governor,REP Governor,REP Governor,REP United States Senate,"REP United States House of Representatives, District 3","REP Tennessee Senate, District 11 District 11","REP Tennessee House of Representatives, District 26 District 26","REP Tennessee House of Representatives, District 27 District 27","REP Tennessee House of Representatives, District 27 District 27","REP Tennessee House of Representatives, District 28 District 28","REP Tennessee House of Representatives, District 29 District 29","REP Tennessee House of Representatives, District 30 District 30","REP State Executive Committeeman, District 10 District 10","REP State Executive Committeeman, District 11 District 11","REP State Executive Committeeman, District 11 District 11","REP State Executive Committeewoman, District 10 District 10","REP State Executive Committeewoman, District 11 District 11","REP State Executive Committeewoman, District 11 District 11",DEM Governor,DEM Governor,DEM Governor,DEM Governor,DEM Governor,DEM United States Senate,DEM United States Senate,DEM United States Senate,DEM United States Senate,DEM United States Senate,"DEM United States House of Representatives, District 3","DEM United States House of Representatives, District 3","DEM Tennessee Senate, District 11 District 11","DEM Tennessee House of Representatives, District 26 District 26","DEM Tennessee House of Representatives, District 26 District 26","DEM Tennessee House of Representatives, District 27 District 27","DEM Tennessee House of Representatives, District 28 District 28","DEM Tennessee House of Representatives, District 29 District 29","DEM Tennessee House of Representatives, District 30 District 30","DEM State Executive Committeeman, District 10 District 10","DEM State Executive Committeeman, District 11 District 11","DEM State Executive Committeeman, District 11 District 11","DEM State Executive Committeewoman, District 10 District 10","DEM State Executive Committeewoman, District 11 District 11","Circuit Court Judge, Div. 2",County Mayor,County Mayor,"County Commission, District 1 District 1","County Commission, District 1 District 1","County Commission, District 2 District 2","County Commission, District 2 District 2","County Commission, District 3 District 3","County Commission, District 4 District 4","County Commission, District 5 District 5","County Commission, District 6 District 6","County Commission, District 6 District 6","County Commission, District 7 District 7","County Commission, District 7 District 7","County Commission, District 8 District 8","County Commission, District 8 District 8","County Commission, District 9 District 9","County Commission, District 10 District 10","County Commission, District 11 District 11","County Commission, District 11 District 11",County Trustee,"General Sessions Court Judge, Div. 2",Sheriff,Circuit Court Clerk,Criminal Court Clerk,Criminal Court Clerk,Juvenile Court Clerk,County Clerk,County Clerk,Register of Deeds,"County School Board, District 3 District 3","County School Board, District 3 District 3","County School Board, District 3 District 3","County School Board, District 5 District 5","County School Board, District 6 District 6","County School Board, District 6 District 6","County School Board, District 8 District 8","County School Board, District 8 District 8","County School Board, District 9 District 9","County School Board, District 9 District 9",Collegedale City Judge Collegedale,Town of Lookout Mountain Commission Lookout Mountain,Town of Lookout Mountain Commission Lookout Mountain,Town of Lookout Mountain Commission Lookout Mountain,Town of Lookout Mountain Commission Lookout Mountain,Town of Lookout Mountain Commission Lookout Mountain,Town of Lookout Mountain Commission Lookout Mountain,Town of Lookout Mountain School Board Lookout Mountain,Town of Lookout Mountain School Board Lookout Mountain,Town of Lookout Mountain School Board Lookout Mountain,Red Bank City Judge Red Bank,Red Bank City Judge Red Bank,Red Bank City Judge Red Bank,Judge Kyle Hixson,Judge Kyle Hixson,Judge Mary Wagner,Judge Mary Wagner,"Judge William Phillips, II","Judge William Phillips, II",Judge Steve Maroney,Judge Steve Maroney,Judge Valerie Smith,Judge Valerie Smith,Judge Stacy Street,Judge Stacy Street,Judge Steven Sword,Judge Steven Sword
,,,,,REP,DEM,GEN,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,Marsha Blackburn,Monty Fritts,John Rose,Bill Hagerty,Chuck Fleischmann,Bo Watson,Greg Martin,Tony Hullender,Michele Reneau,No Candidate Qualified,Greg Vital,Esther Helton Haynes,Kenneth J (Ken) Meyer,Derek Greene,David G. Queen,Emily Goldberg,Jane Armstrong,Tina J. Benkiser,Carnita Atwater,Tim Cyr,Jerri Green,"Adam ""Ditch"" Kurtz",Kevin Lee McCants,Marquita Bradshaw,Maria Brewer,Kevin Lee McCants,Civil Miller-Watkins,Diana Onyejiaka,Anna Golladay,Bryan Martin,Tim Roberts,Nathan B. Denton,Lucian LaFae,Paige Quirin,Yusuf A. Hakeem,Ryan V. Scofield,Art Rymer,Chris Anderson,Tahcere Alexander,Ryan V. Scofield,Heather McClendon,Lisa Crowder,REP Jennifer K. Peck,REP Weston Wamp,DEM Mark Herndon,REP Gene-o Shipley,DEM Mona Petro,REP Chip Baker,DEM Amanda Sovago-Royal,REP Ken Smith,DEM Warren Mackey,DEM Katherlyn Geter,DEM David Sharpe,Justin Pinkerton,REP Lee Helton,DEM Laura J. Bertrand,REP Mike Chauncey,DEM Joshua Wichman,REP Steve Highlander,REP Jeff Eversole,"REP Joseph ""Joe"" Graham",DEM Montrell Besley,REP Bill Hullander,Tori Smith,REP Austin Garrett,REP Larry L. Henry,REP Vince Dean,DEM Aaliyah K. Hakeem,REP Gary D. Behler,REP Brooke Weaver,George Ryan Love,REP Marc Gravitt,REP Ashley R Dillon,DEM Ruth Walker,Sandy Pricer,DEM Thessela White,REP Cindy Fain,DEM Ben Connor,REP Sabrina Daniel,DEM Katie Perkins,REP Gary Kuehn,DEM Jordan Hammond,"Curtis L. Bowe, III",Jim Bentley,Karen Leavengood,Lindsey Parks,Jake Tallent,"John Charles Tugman, Jr.",William Valadez,Julie G Fisher,Karen Welborn,James T. Williams,Bryan Hoss,Meredith Mochel,Emily O'Donnell,Retain,Replace,Retain,Replace,Retain,Replace,Retain,Replace,Retain,Replace,Retain,Replace,Retain,Replace
Election Day,0001,AIRPORT A,446,50,9,33,8,3,3,2,9,9,9,0,0,0,0,2,0,0,4,4,0,4,4,10,3,15,1,3,20,3,2,2,2,15,11,24,0,0,0,25,1,0,0,20,4,0,23,22,10,35,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,23,34,24,20,9,34,19,9,25,19,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,14,23,13,18,15,15,18,22,11,18,14,20,13
Early Voting,0001,AIRPORT A,446,41,9,32,0,7,1,1,9,9,9,0,0,0,0,1,0,0,7,0,0,6,1,5,1,20,0,0,23,4,0,0,1,14,11,24,0,0,0,31,0,0,0,16,7,0,20,21,10,29,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,19,29,19,20,10,27,21,11,19,20,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,20,10,16,13,14,15,19,11,17,12,17,13
Absentee,0001,AIRPORT A,446,2,2,0,0,1,1,0,2,1,2,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,0,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
Provisional,0001,AIRPORT A,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Military & Overseas,0001,AIRPORT A,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nursing Home,0001,AIRPORT A,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Election Day,0002,AIRPORT B,1290,144,47,95,2,23,8,14,43,41,0,0,0,0,0,26,0,41,0,0,38,0,0,31,5,39,1,14,52,8,15,2,10,56,20,0,0,0,0,70,12,0,73,0,0,69,0,79,56,84,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,78,99,76,78,48,76,72,45,55,64,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,43,60,38,55,44,56,41,67,32,61,38,58,40
Early Voting,0002,AIRPORT B,1290,145,57,87,1,31,13,12,53,52,0,0,0,0,0,22,0,52,0,0,47,0,0,17,4,41,3,14,46,9,16,2,5,52,24,0,0,0,0,66,14,0,73,0,0,71,0,82,61,77,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,91,108,84,86,60,81,85,64,60,83,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,45,82,37,83,34,78,40,83,35,81,36,74,44
